Source,Listing title,Price,Location,Vehicle year/model,Part type,Color,Seller name if available,Phone/contact if available,Direct listing link,Date found,Match score,Duplicate yes/no,Status,Notes
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y hood red,,Online / eBay,2024 Tesla Model Y,hood,red,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+hood+red&_sacat=6028,2026-05-01T11:31:20+00:00,85,No,Manual Review,"year match, model match, part match, color match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y hood black,,Online / eBay,2024 Tesla Model Y,hood,black,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+hood+black&_sacat=6028,2026-05-01T11:31:41+00:00,85,No,Manual Review,"year match, model match, part match, color match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y hood white,,Online / eBay,2024 Tesla Model Y,hood,white,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+hood+white&_sacat=6028,2026-05-01T11:32:04+00:00,85,No,Manual Review,"year match, model match, part match, color match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y hood blue,,Online / eBay,2024 Tesla Model Y,hood,blue,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+hood+blue&_sacat=6028,2026-05-01T11:32:31+00:00,85,No,Manual Review,"year match, model match, part match, color match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y hood gray,,Online / eBay,2024 Tesla Model Y,hood,gray,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+hood+gray&_sacat=6028,2026-05-01T11:32:51+00:00,85,No,Manual Review,"year match, model match, part match, color match, direct link, priority source; manual review/no automated outreach"
eBay Motors,Live eBay pull blocked; direct review needed: Tesla 2024 Model Y front bumper red,,Online / eBay,2024 Tesla Model Y,front bumper,red,,,https://www.ebay.com/sch/i.html?_nkw=Tesla+2024+Model+Y+front+bumper+red&_sacat=6028,2026-05-01T11:33:30+00:00,85,No,Manual Review,"year match, model match, part match, color match, direct link, priority source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood red in seattle,,seattle,2024 Tesla Model Y,hood,red,,,https://seattle.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+red,2026-05-01T11:31:24+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood red in spokane,,spokane,2024 Tesla Model Y,hood,red,,,https://spokane.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+red,2026-05-01T11:31:27+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood red in bellingham,,bellingham,2024 Tesla Model Y,hood,red,,,https://bellingham.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+red,2026-05-01T11:31:31+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood red in portland,,portland,2024 Tesla Model Y,hood,red,,,https://portland.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+red,2026-05-01T11:31:34+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
Craigslist,No live Craigslist result found yet: Tesla 2024 Model Y hood red in eugene,,eugene,2024 Tesla Model Y,hood,red,,,https://eugene.craigslist.org/search/pta?query=Tesla+2024+Model+Y+hood+red,2026-05-01T11:31:37+00:00,83,No,Manual Review,"year match, model match, part match, color match, direct link, public source; manual review/no automated outreach"
